start station name,start station latitude,start station longitude
Broadway & Moylan Pl,40.8143256,-73.9590255
Broadway & W 25 St,40.74286877,-73.98918629
W 20 St & 8 Ave,40.74345335,-74.00004031
Crescent St & 35 Ave,40.7596276,-73.9321455
Madison St & Clinton St,40.71269042,-73.98776323
Lincoln Pl & Classon Ave,40.6721683,-73.9609
Central Park West & W 85 St,40.78472675,-73.96961715
Mt Morris Park W & W 120 St,40.804038,-73.945925
W 76 St & Columbus Ave,40.78018397,-73.97728533
Duffield St & Willoughby St,40.69221589,-73.9842844
1 Ave & E 110 St,40.7923272,-73.9383
Lefferts Pl & Franklin Ave,40.68034242,-73.95576894
Vernon Blvd & 47 Rd,40.7449067,-73.9534573
Lexington Ave & E 127 St,40.805726,-73.936322
W 15 St & 6 Ave,40.73804614,-73.99642959
Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613
E 5 St & Avenue C,40.72299208,-73.97995466
Dean St & Hoyt St,40.6864442,-73.98759104
Columbia St & Rivington St,40.71739973,-73.98016555
E 60 St & York Ave,40.759107,-73.959223
28 Ave & 44 St,40.76408932,-73.91065121
E 116 St & 2 Ave,40.796879,-73.937261
E 74 St & 1 Ave,40.7689738,-73.95482273
E 72 St & Park Ave,40.77118288,-73.96409422
Bialystoker Pl & Delancey St,40.71622644,-73.98261206
Broadway & W 60 St,40.76915505,-73.98191841
William St & Pine St,40.70717936,-74.00887308
Frederick Douglass Blvd & W 112 St,40.801694,-73.957145
Washington Ave & Greene Ave,40.68650065,-73.96563307
Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773
E 52 St & 2 Ave,40.756014,-73.967416
E 32 St & Park Ave,40.7457121,-73.98194829
Degraw St & Smith St,40.6829151,-73.99318208
W 82 St & Central Park West,40.78275,-73.97137
Adelphi St & Myrtle Ave,40.69308257,-73.97178913
E 81 St & 3 Ave,40.77573034,-73.9567526
Cliff St & Fulton St,40.70831794,-74.00504082
Washington Ave & Park Ave,40.69610226,-73.96751037
5 Ave & E 88 St,40.78307,-73.95939
Broadway & Berry St,40.71044554,-73.96525063
W 16 St & The High Line,40.74334935,-74.00681753
E 109 St & 3 Ave,40.79329668,-73.9432083
Driggs Ave & Lorimer St,40.72179134,-73.9504154
E 103 St & Lexington Ave,40.7903051,-73.94755757
Henry St & Degraw St,40.6847514,-73.99917254
47 Ave & 31 St,40.743,-73.93561
23 Ave & 27 St,40.776165,-73.9153175
Johnson St & Gold St,40.69474881,-73.98362464
Columbia St & Kane St,40.68763155,-74.0016256
Broadway & W 53 St,40.76344058,-73.98268129
Grand Army Plaza & Plaza St West,40.6729679,-73.97087984
Clermont Ave & Lafayette Ave,40.68764484,-73.96968902
Madison St & Montgomery St,40.713126,-73.984844
E 106 St & Lexington Ave,40.791976,-73.945993
Prospect Park West & 8 St,40.66514682,-73.97637606
E 82 St & East End Ave,40.7724607,-73.9468208
DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458
Myrtle Ave & St Edwards St,40.69327018,-73.97703874
Nassau Ave & Newell St,40.72481256,-73.94752622
E 115 St & Madison Ave,40.7989445,-73.944846
Ditmars Blvd & 19 St,40.78145,-73.9183302
Carroll St & 5 Ave,40.6751622,-73.9814832
FDR Drive & E 35 St,40.744219,-73.97121214
West End Ave & W 94 St,40.7941654,-73.974124
Lawrence St & Willoughby St,40.69236178,-73.98631746
E 47 St & Park Ave,40.75510267,-73.97498696
Crescent St & Ditmars Blvd,40.7787185,-73.9145645
Carlton Ave & Flushing Ave,40.697787,-73.973736
W 74 St & Columbus Ave,40.7785669,-73.97754961
Banker St & Meserole Ave,40.72606,-73.95621
Madison Ave & E 120 St,40.80295,-73.942954
Vernon Blvd & 30 Rd,40.770845,-73.934171
E 78 St & 2 Ave,40.7727966,-73.95577801
Barclay St & Church St,40.71291224,-74.01020234
34 Ave & 21 St,40.7628138,-73.9342862
Willoughby Ave & Walworth St,40.69331716,-73.95381995
W 43 St & 10 Ave,40.76009437,-73.99461843
Bushwick Ave & Powers St,40.71247661,-73.94100005
Broadway & W 32 St,40.74854862,-73.98808416
E 11 St & 1 Ave,40.72953837,-73.98426726
Lewis Ave & Decatur St,40.6814598,-73.934903
Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915
E 27 St & 1 Ave,40.739445,-73.976806
E 15 St & 3 Ave,40.734232,-73.986923
W 59 St & 10 Ave,40.770513,-73.988038
E 13 St & Avenue A,40.72966729,-73.98067966
E 72 St & York Ave,40.76663814,-73.95348296
Carroll St & 6 Ave,40.6740886,-73.9787282
Peck Slip & Front St,40.707873,-74.00167
Nassau Ave & Russell St,40.72557,-73.94434
Union Ave & Jackson St,40.7160751,-73.952029
W 110 St & Amsterdam Ave,40.802692,-73.96295
Crescent St & 30 Ave,40.768692,-73.9249574
Riverside Dr & W 78 St,40.78414472,-73.98362492
Astoria Park S & Shore Blvd,40.7767,-73.927631
Vesey Pl & River Terrace,40.7153379,-74.01658354
Mercer St & Spring St,40.72362738,-73.99949601
35 St & 34 Ave,40.7580583,-73.9242751
Madison Ave & E 82 St,40.7781314,-73.96069399
Amsterdam Ave & W 79 St,40.7829391,-73.9786517
E 55 St & 2 Ave,40.75797322,-73.96603308
E 85 St & York Ave,40.77536905,-73.94803392
Fulton St & Broadway,40.711066,-74.009447
19 St & 24 Ave,40.7774552,-73.9225403
E 118 St & 1 Ave,40.79747,-73.93504
Avenue C & E 18 St,40.730563,-73.973984
Adam Clayton Powell Blvd & W 126 St,40.80949535,-73.94776493
E 2 St & Avenue C,40.7208736,-73.98085795
Howard St & Centre St,40.71910537,-73.99973337
Reade St & Broadway,40.71450451,-74.00562789
37 St & 24 Ave,40.7701477,-73.9120938
Columbus Ave & W 95 St,40.7919557,-73.968087
28 St & 38 Ave,40.754876,-73.934326
John St & William St,40.70862144,-74.00722156
48 Ave & 5 St,40.74436329,-73.95587325
E 76 St & Park Ave,40.773763,-73.96222088
34 Ave & 38 St,40.756913,-73.921631
Cherry St,40.71219906,-73.97948148
E 48 St & 5 Ave,40.75724568,-73.97805914
Franklin Ave & Empire Blvd,40.66314,-73.9605695
Franklin St & Dupont St,40.73564,-73.95866
E 89 St & York Ave,40.7779453,-73.946041
E 20 St & Park Ave,40.73827428,-73.98751968
West Thames St,40.70834698,-74.01713445
Cambridge Pl & Gates Ave,40.68488,-73.96304
Court St & State St,40.6902375,-73.99203074
2 Ave & E 122 St,40.8006721,-73.9349
Driggs Ave & N Henry St,40.72325,-73.94308
Maiden Ln & Pearl St,40.70706456,-74.00731853
Pershing Square South,40.751581,-73.97791
E 43 St & 5 Ave,40.75412081,-73.98025185
Union St & 4 Ave,40.6772744,-73.98282002
E 48 St & 3 Ave,40.7546011,-73.97187886
5 Ave & E 126 St,40.80698,-73.941747
E 84 St & 3 Ave,40.77755374,-73.9551276
E 66 St & Madison Ave,40.76800889,-73.96845281
E 41 St & Madison Ave,40.75216528,-73.97992194
Putnam Ave & Throop Ave,40.6851532,-73.94111
Park Pl & Church St,40.71334184,-74.00935516
W 92 St & Broadway,40.7921,-73.9739
E 68 St & 3 Ave,40.7671284,-73.96224618
Jay St & York St,40.70140317,-73.9867267
Madison Ave & E 99 St,40.78948542,-73.95242929
Huron St & Franklin St,40.73266,-73.95826
40 Ave & Crescent St,40.7535992,-73.93795609
W 106 St & Amsterdam Ave,40.8008363,-73.96644925
Richardson St & N Henry St,40.71907891,-73.9422369
Lexington Ave & E 111 St,40.7954121,-73.9441232
Cathedral Pkwy & Broadway,40.804213,-73.96699104
W 44 St & 5 Ave,40.75500254,-73.98014437
Clermont Ave & Park Ave,40.69573398,-73.97129668
E 84 St & 1 Ave,40.77565541,-73.95068615
St James Pl & Pearl St,40.71117416,-74.00016545
India St & Manhattan Ave,40.73232194,-73.9550858
27 Ave & 9 St,40.7739825,-73.9309134
Newtown Ave & 23 St,40.7713615,-73.9246145
Graham Ave & Herbert St,40.71929301,-73.94500379
Little West St & 1 Pl,40.70569254,-74.01677685
Eckford St & Engert Ave,40.72146256,-73.94800901
E 47 St & 1 Ave,40.75206862,-73.96784384
Verona Pl & Fulton St,40.68035608,-73.9476791
Bedford Ave & Nassau Ave,40.72311651,-73.95212324
Catherine St & Monroe St,40.71117444,-73.99682619
Marcy Ave & Lafayette Ave,40.6900815,-73.947915
Garfield Pl & 8 Ave,40.6711978,-73.97484126
Pioneer St & Richards St,40.6777748,-74.0094613
14 St & 5 Ave,40.666287,-73.98895053
East End Ave & E 86 St,40.77518615,-73.94446054
Front St & Gold St,40.70224,-73.982578
E 114 St & 1 Ave,40.7945663,-73.9362541
Concord St & Bridge St,40.69766564,-73.98476437
Grand Ave & Bergen St,40.678045,-73.962408
Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465
Prospect Pl & Underhill Ave,40.6769694,-73.96579
Rogers Ave & Sterling St,40.6630619,-73.9538746
Lenox Ave & W 111 St,40.7987859,-73.9523
Old Slip & Front St,40.7037992,-74.00838676
27 St & Hunter St,40.7485,-73.941275
Wyckoff St & 3 Ave,40.6827549,-73.98258555
3 Ave & E 72 St,40.7699426,-73.96060712
Clinton St & 4 Place,40.6783563,-74.00014502
W 84 St & Columbus Ave,40.78499979,-73.97283406
Broadway & W 37 St,40.75172632,-73.98753523
Tompkins Ave & Hopkins St,40.69957608,-73.94708417
Stagg St & Union Ave,40.70877084,-73.95095259
Emerson Pl & Myrtle Ave,40.69363137,-73.96223558
Crown St & Bedford Ave,40.666563,-73.956741
31 Ave & 14 St,40.7682,-73.9322662
5 St & 6 Ave,40.6704836,-73.98208968
Driggs Ave & N 9 St,40.71816969,-73.95520136
Warren St & Court St,40.686371,-73.99383324
W 89 St & Columbus Ave,40.7882213,-73.97041561
6 Ave & 12 St,40.6663181,-73.9854617
W 100 St & Manhattan Ave,40.795,-73.9645
4 Ave & 9 St,40.6705135,-73.98876585
Union St & Nevins St,40.679098,-73.98765475
Butler St & Court St,40.6849894,-73.99440329
31 Ave & 30 St,40.7647,-73.9240312
